#file	type	true_z	true_x0	true_x1	true_c	S2noz_z	S2noz_zoerr	S2noz_to	S2noz_toerr	S2noz_xo	S2noz_xoerr	S2noz_x1	S2noz_x1err	S2noz_c	S2noz_cerr	S2zsp_z	S2zsp_zoerr	S2zsp_to	S2zsp_toerr	S2zsp_xo	S2zsp_xoerr	S2zsp_x1	S2zsp_x1err	S2zsp_c	S2zsp_cer
DES_SN002864.DAT	22	0.469790	-9.000000	-9.000000	-9.000000	0.726171	0.000002	-35.324462	0.000036	0.000064	0.000001	-0.125579	0.007376	-0.500000	0.000350	0.468790	0.000085	-13.462779	0.000760	0.000025	0.000000	2.999988	0.015873	-0.211724	0.013028
DES_SN002901.DAT	1	0.643210	0.000016	3.546800	-0.189620	0.623977	0.009006	21.277974	0.159027	0.000013	0.000000	3.000000	0.070765	-0.155432	0.010309	0.642210	0.001716	21.435879	0.139170	0.000013	0.000000	3.000000	0.097594	-0.163493	0.008879
DES_SN003177.DAT	1	0.422760	0.000018	0.720650	0.038686	0.680651	0.027833	26.220813	0.401292	0.000015	0.000000	0.943953	0.184929	-0.202554	0.011732	0.423760	0.001306	23.950986	0.219102	0.000017	0.000000	1.206655	0.186096	0.033534	0.013526
DES_SN003290.DAT	1	0.332560	-9.000000	-9.000000	-9.000000	0.787493	0.004259	23.702269	0.107120	0.000014	0.000000	0.072303	0.025241	-0.331182	0.002827	0.331560	0.000333	19.632200	0.079423	0.000020	0.000000	-0.876230	0.073095	0.055741	0.007943
DES_SN003409.DAT	1	0.537050	0.000014	-1.092600	-0.154460	0.567535	0.000006	27.635575	0.000272	0.000014	0.000000	-0.528785	0.107451	-0.163321	0.005693	0.536051	0.000047	26.841499	0.102514	0.000014	0.000000	-0.892416	0.094112	-0.132417	0.006247
DES_SN003441.DAT	22	0.268410	-9.000000	-9.000000	-9.000000	0.884412	0.019626	33.143304	0.398924	0.000005	0.000000	0.035762	0.042822	-0.389268	0.009287	0.267410	0.000228	27.020570	0.490865	0.000008	0.000001	0.503193	0.657521	0.077562	0.052088
DES_SN003685.DAT	1	0.803190	0.000005	-0.205530	-0.071684	0.844202	0.016471	28.413501	0.879591	0.000005	0.000000	-0.340242	0.399566	-0.140623	0.044635	0.804190	0.001974	27.956684	0.825823	0.000005	0.000000	-0.280417	0.496353	-0.064478	0.043110
DES_SN003934.DAT	1	0.159450	-9.000000	-9.000000	-9.000000	0.620336	0.004536	20.696433	0.163073	0.000130	0.000001	-1.185186	0.068059	-0.354745	0.002303	0.158450	0.001758	14.882028	0.126998	0.000143	0.000001	-0.958037	0.116681	0.018762	0.006788
DES_SN003950.DAT	1	0.581140	-9.000000	-9.000000	-9.000000	0.698426	0.006325	28.072804	0.180088	0.000009	0.000000	0.858647	0.149833	-0.059098	0.010826	0.580140	0.001929	27.104138	0.168286	0.000009	0.000000	0.893421	0.141337	0.059275	0.010799
DES_SN004088.DAT	1	0.496000	0.000017	-2.619600	-0.214200	0.511098	0.004902	23.213045	0.108087	0.000014	0.000000	-1.978909	0.084844	-0.097824	0.010579	0.497000	0.001411	23.156898	0.106540	0.000014	0.000000	-1.960860	0.085388	-0.075184	0.006711
DES_SN004131.DAT	1	0.391010	-9.000000	-9.000000	-9.000000	0.719990	0.006021	27.986748	0.118668	0.000013	0.000000	0.157441	0.082257	-0.184321	0.009132	0.392010	0.001293	24.769306	0.111062	0.000014	0.000000	0.385789	0.109747	0.153962	0.010527
DES_SN004195.DAT	1	0.568140	-9.000000	-9.000000	-9.000000	0.605608	0.000351	24.701133	0.009945	0.000006	0.000001	-0.198763	0.715955	-0.049392	0.417479	0.567140	0.001720	24.315069	0.434983	0.000006	0.000000	-0.355628	0.391482	-0.009733	0.036250
DES_SN004289.DAT	1	0.498870	-9.000000	-9.000000	-9.000000	0.723212	0.000012	29.770232	0.000496	0.000009	0.000000	-0.159104	0.142942	-0.242745	0.009411	0.497870	0.000189	26.766695	0.246402	0.000011	0.000000	-0.973947	0.198284	-0.058307	0.014305
DES_SN004440.DAT	1	0.360990	0.000023	0.248460	0.080247	0.567737	0.005292	23.475272	0.135528	0.000020	0.000000	0.004588	0.113668	-0.151153	0.010995	0.359990	0.001495	22.079403	0.120771	0.000021	0.000000	0.314432	0.113708	0.123920	0.010542
DES_SN004881.DAT	1	0.486250	0.000020	1.521400	-0.095778	0.501802	0.005783	25.241188	0.291304	0.000015	0.000000	1.936433	0.192596	-0.060949	0.013297	0.485250	0.000154	25.117284	0.289193	0.000015	0.000000	1.979156	0.192014	-0.043166	0.010737
DES_SN005039.DAT	1	0.341260	0.000030	0.238170	0.013649	0.677854	0.006188	22.071966	0.130651	0.000020	0.000000	0.186291	0.085217	-0.291101	0.005594	0.342260	0.000189	18.722711	0.117528	0.000026	0.000000	-0.040083	0.105328	0.025968	0.009216
DES_SN005417.DAT	1	0.671600	0.000005	0.093409	0.065413	0.744410	0.008667	23.467933	0.246125	0.000006	0.000000	0.459447	0.198159	-0.053258	0.021488	0.670600	0.000229	22.675399	0.215075	0.000005	0.000000	0.440475	0.174181	-0.000322	0.017421
DES_SN006341.DAT	1	0.368210	0.000025	0.100960	0.022981	0.747317	0.000004	-42.283677	169.446943	0.000110	0.000000	-0.875961	0.000005	-0.311311	0.000001	0.369210	0.000418	21.291271	0.081530	0.000023	0.000000	0.530399	0.073003	0.029321	0.006420
DES_SN006603.DAT	1	0.683550	0.000009	-1.339700	-0.242470	0.707378	0.006199	29.345163	0.174464	0.000009	0.000000	-0.597198	0.108467	-0.169789	0.009244	0.684550	0.000081	29.082908	0.148419	0.000009	0.000000	-0.713764	0.061678	-0.166569	0.008776
DES_SN006675.DAT	1	0.434010	0.000010	-1.879800	0.159730	0.555099	0.010836	25.688817	0.334256	0.000010	0.000000	-1.909413	0.203463	-0.030947	0.022446	0.435010	0.001874	25.019285	0.336675	0.000010	0.000000	-1.862593	0.226245	0.091971	0.021326
DES_SN006712.DAT	1	0.801900	0.000004	-2.915500	-0.166600	1.297511	0.025212	37.832768	0.790168	0.000003	0.000000	0.313368	0.137800	-0.254335	0.015178	0.801347	0.001193	-46.157446	0.016412	0.000011	0.000001	0.076746	0.020738	-0.499560	0.009069
DES_SN006869.DAT	22	0.421020	-9.000000	-9.000000	-9.000000	0.793090	0.004198	43.765561	0.232593	0.000017	0.000000	-0.245461	0.030701	-0.334496	0.005042	0.420020	0.001296	41.685529	0.206543	0.000015	0.000000	3.000000	0.004119	0.240820	0.017591
DES_SN007221.DAT	1	0.839830	0.000004	2.109100	-0.010679	1.498757	0.000005	-78.031563	0.000270	0.000087	0.000002	-0.197036	0.015873	-0.222798	0.008126	0.839610	0.001379	30.242434	150.130540	0.000003	0.001443	2.876574	4.143600	0.188336	0.738162
DES_SN007245.DAT	32	0.528340	-9.000000	-9.000000	-9.000000	0.976614	nan	-63.861054	0.000948	0.000071	0.000002	-0.062138	0.019331	-0.406651	0.017881	0.529340	0.001386	20.494118	0.381405	0.000007	0.000000	-1.234924	0.399136	0.382134	0.043927
DES_SN007453.DAT	32	0.138320	-9.000000	-9.000000	-9.000000	0.839962	0.009865	8.338009	0.549941	0.000010	0.000000	3.000000	0.153473	-0.027902	0.021632	0.138268	0.001473	-18.950631	0.002247	0.000019	0.000000	-0.485498	0.187527	0.500000	0.002856
DES_SN007510.DAT	1	0.550280	-9.000000	-9.000000	-9.000000	0.694039	0.016780	28.818594	0.504636	0.000007	0.000000	0.309429	0.348598	-0.088711	0.030019	0.549280	0.001265	27.592696	0.469772	0.000007	0.000000	0.340419	0.360914	0.062732	0.031938
DES_SN007561.DAT	1	0.850390	0.000004	-0.113350	-0.061132	0.832035	0.009981	30.000721	0.754782	0.000004	0.000000	-0.768084	0.543655	-0.024093	0.032671	0.849390	0.001919	30.602035	0.692089	0.000004	0.000000	-0.424899	0.477091	-0.049124	0.026718
DES_SN007797.DAT	22	0.194000	-9.000000	-9.000000	-9.000000	0.755000	0.057681	82.632578	0.099749	0.000133	0.001546	0.000000	4.481649	0.000000	0.746941	0.195000	0.000137	27.532183	0.327327	0.000023	0.000001	-1.194896	0.367792	0.173839	0.021239
DES_SN007940.DAT	1	0.457390	0.000021	-1.024100	-0.163310	0.658916	0.031031	24.566691	0.483391	0.000018	0.000001	-0.427145	0.175754	-0.301208	0.011722	0.456390	0.000151	22.612151	0.228786	0.000022	0.000000	-0.711960	0.149571	-0.140329	0.013112
DES_SN008008.DAT	1	0.155270	0.000207	1.686100	0.016980	0.212039	0.000001	18.566279	0.000046	0.000217	0.000001	1.752107	0.044491	-0.108662	0.003771	0.156270	0.000123	17.670364	0.029601	0.000214	0.000001	1.823471	0.038791	-0.029060	0.003981
DES_SN008057.DAT	21	0.581280	-9.000000	-9.000000	-9.000000	0.849033	0.001587	56.707257	164.311480	0.000007	0.000000	0.803768	0.000853	-0.276969	0.000407	0.580280	0.000029	30.886917	0.148756	0.000009	0.000000	2.994968	0.020963	-0.282193	0.007590
DES_SN008662.DAT	1	0.547760	0.000007	0.269840	0.164860	0.438327	0.017820	25.913925	0.410383	0.000006	0.000000	0.160616	0.374519	0.258974	0.038584	0.546868	0.001260	26.592847	162.451802	0.000004	0.001500	1.490421	3.752848	0.420029	0.593036
DES_SN008733.DAT	1	0.229730	0.000075	-0.586110	-0.017990	0.512831	0.000002	-14.560806	0.000091	0.000054	0.000000	-0.807390	0.049722	-0.305058	0.004202	0.228730	0.000290	-16.396726	0.000313	0.000053	0.000001	-1.100132	0.073665	0.114735	0.013548
DES_SN008872.DAT	1	0.745050	-9.000000	-9.000000	-9.000000	1.009102	0.030233	35.783121	2.222037	0.000003	0.000000	2.073123	1.375830	-0.059624	0.055969	0.746050	0.001322	30.594788	1.408331	0.000003	0.000000	-0.710752	1.319310	0.227699	0.094254
DES_SN008897.DAT	1	0.655890	-9.000000	-9.000000	-9.000000	0.708359	0.011062	29.334227	0.300202	0.000005	0.000000	0.937067	0.265913	0.050040	0.023567	0.656890	0.000231	28.852787	0.239509	0.000005	0.000000	1.035752	0.248089	0.088451	0.020593
DES_SN008978.DAT	1	0.503300	-9.000000	-9.000000	-9.000000	0.462934	0.004785	20.835774	0.130541	0.000014	0.000000	1.417831	0.108770	-0.037627	0.009199	0.502300	0.001127	21.258116	0.113747	0.000013	0.000000	1.410067	0.105688	-0.072446	0.008005
DES_SN009303.DAT	1	0.695450	0.000008	0.938290	-0.124070	0.732312	0.008809	23.639397	0.355338	0.000008	0.000000	0.826388	0.243959	-0.097204	0.018608	0.696450	0.000075	23.227307	0.001290	0.000008	0.000000	0.875290	0.241010	-0.068040	0.014841
DES_SN009704.DAT	22	0.041252	-9.000000	-9.000000	-9.000000	0.394922	0.000825	45.995284	0.079783	0.000389	0.000001	3.000000	0.000551	-0.126342	0.002466	0.040923	0.001015	24.002506	0.703290	0.000826	0.000009	2.915956	0.015138	-0.174836	0.008651
DES_SN009820.DAT	22	0.292930	-9.000000	-9.000000	-9.000000	0.773123	0.622660	-58.753345	68.085715	0.000064	0.000191	-1.437669	2.213394	-0.329701	0.314945	0.293930	0.001548	17.122256	0.525235	0.000011	0.000000	2.214912	0.528052	-0.156129	0.030796
DES_SN009905.DAT	33	0.184470	-9.000000	-9.000000	-9.000000	0.707823	0.002242	-38.387059	0.232713	0.000061	0.000001	0.067321	0.005195	-0.500000	0.000106	0.183470	0.000052	-13.180346	0.004668	0.000022	0.000001	-0.616651	0.092544	0.318176	0.018274
DES_SN010320.DAT	1	0.549130	0.000011	-1.373300	-0.097498	0.675833	0.009855	28.411892	0.212384	0.000010	0.000000	-1.015175	0.134928	-0.148313	0.016085	0.548130	0.001762	27.153796	0.187006	0.000010	0.000000	-0.932692	0.149121	0.011393	0.016364
DES_SN010431.DAT	1	0.717920	0.000007	0.036117	-0.117430	0.752449	0.010635	26.328046	0.446791	0.000007	0.000000	0.242435	0.319288	-0.032959	0.028984	0.718920	0.001826	25.985961	0.431107	0.000007	0.000000	0.173741	0.321201	0.013140	0.024542
DES_SN010485.DAT	32	0.411930	-9.000000	-9.000000	-9.000000	0.728975	0.006293	12.608994	0.264620	0.000014	0.000000	-1.447617	0.244497	0.056210	0.023622	0.410930	0.001500	11.549919	0.250415	0.000011	0.000000	0.163955	0.299917	0.459405	0.015499
DES_SN010603.DAT	1	0.778930	-9.000000	-9.000000	-9.000000	0.770512	0.019312	21.910278	0.654146	0.000004	0.000000	0.424226	0.601560	0.040213	0.055014	0.779930	0.000268	21.977391	0.607130	0.000004	0.000000	0.362739	0.517768	0.023238	0.038230
DES_SN010662.DAT	22	0.231830	-9.000000	-9.000000	-9.000000	0.844904	0.006405	37.402183	0.126073	0.000013	0.000000	-0.500651	0.036702	-0.358592	0.002776	0.232830	0.000362	31.207124	0.103651	0.000018	0.000000	3.000000	0.021942	0.157010	0.012470
DES_SN010866.DAT	1	0.548210	0.000016	1.181700	-0.139420	0.588735	0.000009	-8.356108	0.904347	0.000016	0.000001	0.523528	0.162187	-0.238419	0.016337	0.549210	0.001231	-6.378900	0.000491	0.000015	0.000000	0.195045	0.152914	-0.170485	0.011527
DES_SN011172.DAT	1	0.620780	0.000005	-1.822600	0.116920	0.708766	0.022341	15.232935	0.365572	0.000005	0.000000	-1.002543	0.217342	-0.003640	0.028688	0.619780	0.001668	14.271334	0.271399	0.000005	0.000000	-1.081166	0.206644	0.085498	0.021956
DES_SN011182.DAT	1	0.370490	0.000027	-0.052730	-0.025693	0.717129	0.007874	-4.629252	2.754687	0.000011	0.000001	2.599500	0.490877	-0.087965	0.049566	0.369700	0.001455	-8.508565	140.662408	0.000016	0.001433	-0.127459	4.231771	0.182121	0.740078
DES_SN011436.DAT	32	0.260890	-9.000000	-9.000000	-9.000000	0.643451	0.008785	20.391438	0.400476	0.000007	0.000000	-2.690733	0.303685	0.166886	0.039538	0.259890	0.001704	19.985817	0.512811	0.000005	0.000000	-2.999999	0.270401	0.500000	0.003871
DES_SN011720.DAT	1	0.641290	0.000013	1.310100	-0.201490	0.614034	0.004632	27.502443	0.143684	0.000012	0.000000	1.590310	0.123989	-0.175297	0.006048	0.640290	0.000009	27.815340	0.133384	0.000012	0.000000	1.607189	0.125559	-0.187104	0.005544
DES_SN011945.DAT	1	0.580560	0.000010	0.400370	-0.036844	0.695859	0.014339	20.011986	0.341791	0.000009	0.000000	0.527461	0.287043	-0.117114	0.024878	0.579560	0.001041	18.898425	0.300150	0.000009	0.000000	0.662042	0.272761	-0.018197	0.023909
DES_SN012535.DAT	1	0.837770	0.000005	1.527500	-0.062193	0.719395	0.000031	-62.960014	0.000833	0.000049	0.000001	0.090954	0.011539	-0.444730	0.026138	0.838770	0.001710	5.066209	0.000436	0.000004	0.000000	-0.523626	0.291868	0.031588	0.034921
DES_SN012626.DAT	22	0.197150	-9.000000	-9.000000	-9.000000	0.703126	nan	-49.192903	0.002301	0.000093	0.000002	-0.032893	0.008424	-0.499999	0.001676	0.198150	0.001355	21.121185	0.349514	0.000008	0.000000	2.999992	0.483481	0.499999	0.017521
DES_SN012801.DAT	21	0.709120	-9.000000	-9.000000	-9.000000	0.156764	0.794304	12.244815	144.571723	0.000023	0.001426	2.999983	3.704843	-0.116764	0.731498	0.710120	0.001721	19.107666	0.220576	0.000013	0.000000	-0.269959	0.023902	-0.458542	0.004392
DES_SN013361.DAT	1	0.717460	0.000009	-0.185830	-0.240600	0.770418	0.001802	-15.499446	0.063184	0.000012	0.000000	-0.015654	0.017981	-0.412452	0.015298	0.716907	0.001178	-87.148576	112.558104	-0.000519	0.001203	-0.619220	4.188415	0.046826	0.765618
DES_SN013745.DAT	21	0.940000	-9.000000	-9.000000	-9.000000	0.497918	0.013759	21.522133	0.448637	0.000007	0.000000	3.000000	0.020537	-0.034606	0.029567	0.939401	0.001112	-53.778486	147.861641	0.000091	0.001398	-2.107833	4.382638	-0.037135	0.718382
DES_SN013985.DAT	1	0.273020	0.000078	2.378700	-0.071577	0.162817	0.000001	-7.156834	0.000121	0.000188	0.000002	1.557982	0.036920	-0.155773	0.006531	0.274020	0.000075	14.801226	0.113993	0.000082	0.000001	1.897098	0.068602	-0.092578	0.004749
DES_SN014013.DAT	1	0.406670	-9.000000	-9.000000	-9.000000	0.451945	0.004413	22.658275	0.157126	0.000013	0.000000	0.415077	0.121822	0.088861	0.010083	0.407628	0.001971	22.654178	0.000725	0.000013	0.000000	0.248698	0.114975	0.133728	0.007689
DES_SN014212.DAT	1	0.783530	0.000004	0.154210	-0.013890	0.933797	0.022295	31.696798	0.653592	0.000004	0.000000	0.307629	0.369202	-0.174196	0.022031	0.782530	0.001913	30.062308	0.669756	0.000004	0.000000	0.368857	0.459321	-0.005347	0.032404
DES_SN014245.DAT	1	0.411590	0.000023	2.004700	0.016097	0.403253	0.004352	24.145883	0.223148	0.000019	0.000000	2.835500	0.181005	0.093732	0.012589	0.410590	0.001559	24.181073	0.223871	0.000019	0.000000	2.803616	0.182086	0.081355	0.009889
DES_SN014542.DAT	1	0.319160	-9.000000	-9.000000	-9.000000	0.583515	0.007265	22.874742	0.194112	0.000020	0.000000	-0.901043	0.186128	-0.229850	0.011567	0.318160	0.001426	21.095208	0.159702	0.000023	0.000001	-1.100125	0.236376	0.051606	0.021478
DES_SN014665.DAT	1	0.461580	0.000011	-3.971700	-0.051264	0.373540	0.042353	99.598260	1.326203	-0.000010	0.000006	-3.000000	0.730989	-0.276919	0.309846	0.460581	0.001692	-20.899630	1.346099	0.000011	0.000002	-3.000000	0.200087	-0.012027	0.108395
DES_SN015093.DAT	1	0.673650	-9.000000	-9.000000	-9.000000	0.725154	0.009009	27.142847	0.311707	0.000006	0.000000	-0.285117	0.222778	-0.107855	0.020221	0.672650	0.000270	26.634757	0.291486	0.000006	0.000000	-0.243054	0.222011	-0.061930	0.016685
DES_SN015152.DAT	22	0.487110	-9.000000	-9.000000	-9.000000	0.755000	0.196637	75.489101	0.199858	0.000068	0.001521	0.000000	4.481649	0.000000	0.746941	0.488110	0.001859	21.124162	0.281415	0.000008	0.000000	3.000000	0.007835	-0.330698	0.008161
DES_SN015230.DAT	3	0.468300	-9.000000	-9.000000	-9.000000	0.650794	0.041297	95.303901	0.872162	0.000046	0.000022	0.905175	0.755330	0.499952	0.753886	0.468975	0.001466	-4.421358	141.038203	0.000004	0.001422	0.428993	4.364022	0.500000	0.617754
DES_SN015470.DAT	1	0.411210	0.000015	0.203530	0.132340	0.352916	0.012291	21.895047	0.242060	0.000012	0.000000	0.152317	0.229994	0.281633	0.026964	0.410210	0.001783	22.470256	0.204559	0.000012	0.000000	0.393782	0.198324	0.219752	0.019622
DES_SN015510.DAT	22	0.144330	-9.000000	-9.000000	-9.000000	0.101517	0.001658	22.726501	0.083909	0.000021	0.000000	2.355320	0.135117	0.410451	0.013758	0.143330	0.000217	23.158276	0.074273	0.000021	0.000000	2.087823	0.120425	0.389369	0.013354
DES_SN015713.DAT	1	0.622580	0.000006	-1.202400	0.057793	0.636293	0.016701	27.478951	0.569534	0.000006	0.000000	-0.439108	0.381813	0.068617	0.043675	0.621592	0.001899	-41.124379	0.003497	0.000027	0.000000	0.017330	0.032738	-0.497292	0.002659
DES_SN015984.DAT	1	0.648580	0.000005	-0.085932	0.111030	0.470561	0.000039	-50.519272	0.000178	0.000051	0.000000	-1.491040	0.005583	-0.151910	0.000966	0.647580	0.001999	-3.379127	2.192018	0.000005	0.000000	1.981633	0.630523	0.151762	0.037543
DES_SN016096.DAT	1	0.697470	0.000005	-0.506300	-0.010458	0.747843	0.009438	28.538622	0.295969	0.000005	0.000000	0.135270	0.222981	0.008957	0.026690	0.698470	0.001253	28.043009	146.831016	0.000005	0.001422	-0.038762	4.254956	0.061705	0.722978
DES_SN016151.DAT	22	0.352080	-9.000000	-9.000000	-9.000000	0.786733	0.007148	29.433652	0.300446	0.000009	0.000000	-0.303706	0.070874	-0.339860	0.007794	0.351080	0.001493	25.681665	0.293254	0.000009	0.000000	3.000000	0.059400	0.202712	0.025363
DES_SN016236.DAT	1	0.298360	-9.000000	-9.000000	-9.000000	0.711372	0.589904	-18.516685	38.392729	0.000023	0.001426	-0.001752	4.261858	-0.445027	0.506507	0.299180	nan	-12.932014	0.313256	0.000016	0.000001	-1.136837	0.125760	0.327399	0.023642
DES_SN016610.DAT	1	0.508800	0.000008	-0.688730	0.141070	0.674999	0.011248	26.826599	0.450290	0.000007	0.000000	0.007021	0.328948	-0.058596	0.023578	0.509800	0.001676	25.385263	0.380939	0.000007	0.000000	-0.180873	0.309011	0.138600	0.023905
DES_SN016887.DAT	1	0.717340	0.000008	1.381800	-0.140040	0.705637	0.005657	-41.169041	0.000468	0.000042	0.000001	-0.012925	0.018380	-0.489923	0.011886	0.718340	0.001729	23.700102	0.323695	0.000008	0.000000	0.874710	0.333218	-0.140820	0.019738
DES_SN016981.DAT	1	0.575070	0.000008	-0.755220	0.037687	0.946612	0.000022	-28.300586	0.001778	0.000014	0.000001	0.101182	0.043501	-0.356881	0.032139	0.574157	0.001411	-9.680869	140.934345	0.000004	0.001437	2.551424	3.077498	0.379342	0.544214
DES_SN017007.DAT	33	0.094455	-9.000000	-9.000000	-9.000000	0.420859	0.002190	24.237750	0.063195	0.000105	0.000001	3.000000	0.010059	-0.058381	0.004878	0.095455	0.000099	19.484540	0.053430	0.000095	0.000001	1.329637	0.058791	0.426559	0.007104
DES_SN017251.DAT	1	0.483270	-9.000000	-9.000000	-9.000000	0.588698	0.008514	21.033035	0.234565	0.000008	0.000000	-2.170684	0.153089	-0.144180	0.017922	0.482270	0.000349	20.402679	0.214356	0.000008	0.000000	-2.229784	0.158325	-0.002087	0.018357
DES_SN017287.DAT	1	0.736340	0.000004	0.927170	0.114250	1.022325	0.033535	29.277957	1.070009	0.000003	0.000000	0.516636	0.415423	-0.219171	0.031065	0.737340	0.001991	28.617965	1.009797	0.000004	0.000000	2.998631	5.752523	0.135718	0.062120
DES_SN017600.DAT	1	0.624860	0.000006	2.335000	0.177090	0.815652	0.000000	6.186427	0.000002	0.000005	0.000000	0.726447	0.626437	0.198131	0.004575	0.624797	nan	-1.188145	0.002959	0.000004	0.000000	0.370535	0.612530	0.415536	0.060388
DES_SN017604.DAT	1	0.710540	0.000008	-0.151150	-0.173280	0.715710	0.009202	29.226765	0.204615	0.000008	0.000000	0.221529	0.153669	-0.135277	0.015882	0.711540	0.001491	29.186211	0.186766	0.000008	0.000000	0.230925	0.155902	-0.131252	0.013333
DES_SN017624.DAT	1	0.485150	-9.000000	-9.000000	-9.000000	0.463125	0.006510	21.220500	0.138545	0.000012	0.000000	-0.204086	0.127918	0.021740	0.011884	0.484151	0.000267	21.409426	0.125476	0.000011	0.000000	-0.169704	0.125413	0.006646	0.010237
DES_SN017687.DAT	32	0.553770	-9.000000	-9.000000	-9.000000	0.653695	0.005965	15.878332	0.187896	0.000006	0.000000	-1.463930	0.165142	0.291358	0.021325	0.554769	0.000145	15.412567	0.183654	0.000005	0.000000	-1.197162	0.177931	0.445040	0.019423
DES_SN017752.DAT	1	0.242540	-9.000000	-9.000000	-9.000000	0.706485	0.005107	-22.864893	0.462847	0.000037	0.000001	0.078764	0.011865	-0.500000	0.004100	0.241540	0.001972	-17.973592	0.001292	0.000031	0.000001	-1.161198	0.151352	0.187720	0.031354
DES_SN018085.DAT	22	0.242350	-9.000000	-9.000000	-9.000000	0.684211	0.090560	52.864486	3.148734	0.000045	0.000108	1.671595	5.088843	-0.412736	0.882891	0.241350	0.001747	22.156226	0.462058	0.000011	0.000001	-2.903154	0.828751	-0.009249	0.036385
DES_SN018157.DAT	1	0.580500	0.000008	-0.221550	0.047429	0.726905	0.012572	26.248604	0.299068	0.000006	0.000000	0.240313	0.259924	-0.037877	0.033195	0.579500	0.001670	24.934891	0.278341	0.000006	0.000000	0.449620	0.255122	0.144522	0.022448
DES_SN018181.DAT	1	0.606250	0.000010	-0.071749	-0.087729	0.727437	0.006056	-53.714230	0.806301	0.000080	0.000003	-3.000000	0.007709	-0.059995	0.012103	0.605250	0.001567	23.935065	1.416817	0.000010	0.000000	-0.719427	1.019442	-0.041159	0.035503
DES_SN018245.DAT	1	0.398070	-9.000000	-9.000000	-9.000000	0.751984	0.008145	28.123279	0.200447	0.000009	0.000000	1.008070	0.147340	-0.091741	0.014822	0.399070	0.001703	24.634786	0.151534	0.000009	0.000000	0.891863	0.128422	0.301914	0.012092
DES_SN018420.DAT	22	0.345550	-9.000000	-9.000000	-9.000000	0.771323	0.399687	96.896984	164.744924	0.000001	0.001494	-1.416831	4.903942	0.041834	0.763731	0.344550	0.001996	24.450063	0.392602	0.000010	0.000000	-0.615784	0.398886	-0.123515	0.038252
