#file	type	true_z	true_x0	true_x1	true_c	S2noz_z	S2noz_zoerr	S2noz_to	S2noz_toerr	S2noz_xo	S2noz_xoerr	S2noz_x1	S2noz_x1err	S2noz_c	S2noz_cerr	S2zsp_z	S2zsp_zoerr	S2zsp_to	S2zsp_toerr	S2zsp_xo	S2zsp_xoerr	S2zsp_x1	S2zsp_x1err	S2zsp_c	S2zsp_cer
DES_SN010603.DAT	1	0.778930	-9.000000	-9.000000	-9.000000	0.770512	0.019312	21.910278	0.654146	0.000004	0.000000	0.424226	0.601560	0.040213	0.055014	0.779930	0.000268	21.977391	0.607130	0.000004	0.000000	0.362739	0.517768	0.023238	0.038230
DES_SN010662.DAT	22	0.231830	-9.000000	-9.000000	-9.000000	0.844904	0.006405	37.402183	0.126073	0.000013	0.000000	-0.500651	0.036702	-0.358592	0.002776	0.232830	0.000362	31.207124	0.103651	0.000018	0.000000	3.000000	0.021942	0.157010	0.012470
DES_SN010866.DAT	1	0.548210	0.000016	1.181700	-0.139420	0.588735	0.000009	-8.356109	0.904347	0.000016	0.000001	0.523528	0.162187	-0.238419	0.016337	0.549210	0.001231	-6.378900	0.000491	0.000015	0.000000	0.195045	0.152914	-0.170485	0.011527
DES_SN011172.DAT	1	0.620780	0.000005	-1.822600	0.116920	0.708766	0.022341	15.232935	0.365572	0.000005	0.000000	-1.002543	0.217342	-0.003640	0.028688	0.619780	0.001668	14.271334	0.271399	0.000005	0.000000	-1.081166	0.206644	0.085498	0.021956
DES_SN011182.DAT	1	0.370490	0.000027	-0.052730	-0.025693	0.717129	0.007874	-4.629252	2.754687	0.000011	0.000001	2.599500	0.490877	-0.087965	0.049566	0.371390	0.000000	-8.592859	0.000002	0.000016	0.000001	-0.123514	0.346632	0.176989	0.040720
DES_SN011436.DAT	32	0.260890	-9.000000	-9.000000	-9.000000	0.643451	0.008785	20.391438	0.400476	0.000007	0.000000	-2.690733	0.303685	0.166886	0.039538	0.259890	0.001704	19.985817	0.512811	0.000005	0.000000	-2.999999	0.270401	0.500000	0.003871
DES_SN011720.DAT	1	0.641290	0.000013	1.310100	-0.201490	0.614034	0.004632	27.502443	0.143684	0.000012	0.000000	1.590310	0.123989	-0.175297	0.006048	0.640290	0.000009	27.815340	0.133384	0.000012	0.000000	1.607189	0.125559	-0.187104	0.005544
DES_SN011945.DAT	1	0.580560	0.000010	0.400370	-0.036844	0.695859	0.014339	20.011986	0.341791	0.000009	0.000000	0.527461	0.287043	-0.117114	0.024878	0.579560	0.001042	18.899065	0.300168	0.000009	0.000000	0.662457	0.272789	-0.018278	0.023909
DES_SN012535.DAT	1	0.837770	0.000005	1.527500	-0.062193	0.719395	0.000031	-62.960013	0.000834	0.000049	0.000001	0.090954	0.011539	-0.444730	0.026138	0.838770	0.001710	5.066209	0.000436	0.000004	0.000000	-0.523626	0.291868	0.031588	0.034921
DES_SN012626.DAT	22	0.197150	-9.000000	-9.000000	-9.000000	0.721287	0.000005	-50.102211	0.000741	0.000094	0.000002	-0.025679	0.007388	-0.500000	0.001846	0.198150	0.001355	21.121185	0.349514	0.000008	0.000000	2.999992	0.483481	0.499999	0.017521
DES_SN012801.DAT	21	0.709120	-9.000000	-9.000000	-9.000000	0.157197	0.000058	12.222819	0.002868	0.000023	0.000000	2.999851	0.025738	-0.118898	0.018355	0.710120	0.001722	19.107943	0.220548	0.000013	0.000000	-0.269942	0.023901	-0.458548	0.004391
DES_SN013361.DAT	1	0.717460	0.000009	-0.185830	-0.240600	0.833887	0.000004	-17.718322	0.000170	0.000012	0.000000	-0.039930	0.017852	-0.446713	0.011821	0.716907	0.001178	-87.148575	112.558103	-0.000519	0.001203	-0.619219	4.188416	0.046826	0.765618
DES_SN013745.DAT	21	0.940000	-9.000000	-9.000000	-9.000000	0.497953	0.014174	21.522455	0.453308	0.000007	0.000000	3.000000	0.020541	-0.034693	0.029898	0.939733	0.000003	-53.839052	0.028535	0.000076	0.000000	-1.384992	0.012130	-0.130176	0.007894
DES_SN013985.DAT	1	0.273020	0.000078	2.378700	-0.071577	0.162874	0.000003	-7.158919	0.000039	0.000189	0.000002	1.553260	0.063699	-0.156624	0.006757	0.274020	0.000075	14.801226	0.113993	0.000082	0.000001	1.897099	0.068602	-0.092578	0.004749
DES_SN014013.DAT	1	0.406670	-9.000000	-9.000000	-9.000000	0.451945	0.004413	22.658275	0.157126	0.000013	0.000000	0.415077	0.121822	0.088861	0.010083	0.407628	0.001971	22.654178	0.000725	0.000013	0.000000	0.248698	0.114976	0.133728	0.007689
DES_SN014212.DAT	1	0.783530	0.000004	0.154210	-0.013890	0.943385	0.000331	31.786566	0.620151	0.000004	0.000000	0.262951	0.314908	-0.176543	0.019734	0.782530	0.001799	30.064263	0.759561	0.000004	0.000000	0.366877	0.476285	-0.005471	0.036132
DES_SN014245.DAT	1	0.411590	0.000023	2.004700	0.016097	0.403253	0.004352	24.145883	0.223148	0.000019	0.000000	2.835500	0.181005	0.093732	0.012589	0.410590	0.001559	24.181073	0.223871	0.000019	0.000000	2.803616	0.182086	0.081355	0.009889
DES_SN014542.DAT	1	0.319160	-9.000000	-9.000000	-9.000000	0.583515	0.007265	22.874742	0.194112	0.000020	0.000000	-0.901043	0.186128	-0.229850	0.011567	0.318160	0.001426	21.095208	0.159702	0.000023	0.000001	-1.100125	0.236376	0.051606	0.021478
DES_SN014665.DAT	1	0.461580	0.000011	-3.971700	-0.051264	0.373540	0.042353	99.598260	1.326203	-0.000010	0.000006	-3.000000	0.730989	-0.276919	0.309846	0.460580	0.001422	-85.645216	110.649149	0.000003	0.001495	-2.819552	4.696040	-0.128766	0.684269
DES_SN015093.DAT	1	0.673650	-9.000000	-9.000000	-9.000000	0.725154	0.009009	27.142847	0.311707	0.000006	0.000000	-0.285117	0.222778	-0.107855	0.020221	0.672650	0.000270	26.634757	0.291486	0.000006	0.000000	-0.243054	0.222011	-0.061930	0.016685
DES_SN015152.DAT	22	0.487110	-9.000000	-9.000000	-9.000000	0.755000	0.196637	75.489101	0.199858	0.000068	0.001521	0.000000	4.481649	0.000000	0.746941	0.488110	0.001859	21.124162	0.281415	0.000008	0.000000	3.000000	0.007835	-0.330698	0.008161
DES_SN015230.DAT	3	0.468300	-9.000000	-9.000000	-9.000000	0.650794	0.041297	95.303901	0.872162	0.000046	0.000022	0.905175	0.755330	0.499952	0.753886	0.469299	0.001872	-4.434671	0.007390	0.000004	0.000000	0.430039	0.526974	0.500000	0.006309
DES_SN015470.DAT	1	0.411210	0.000015	0.203530	0.132340	0.352916	0.012291	21.895047	0.242060	0.000012	0.000000	0.152317	0.229994	0.281633	0.026964	0.410210	0.001783	22.470256	0.204559	0.000012	0.000000	0.393782	0.198324	0.219752	0.019622
DES_SN015510.DAT	22	0.144330	-9.000000	-9.000000	-9.000000	0.101839	0.002141	22.731151	0.086107	0.000021	0.000000	2.355708	0.134911	0.410815	0.013839	0.143330	0.000217	23.158276	0.074273	0.000021	0.000000	2.087821	0.120425	0.389369	0.013354
DES_SN015713.DAT	1	0.622580	0.000006	-1.202400	0.057793	0.636293	0.016701	27.478951	0.569534	0.000006	0.000000	-0.439108	0.381813	0.068617	0.043675	0.621592	0.001899	-41.124379	0.003497	0.000027	0.000000	0.017330	0.032738	-0.497292	0.002659
DES_SN015984.DAT	1	0.648580	0.000005	-0.085932	0.111030	0.470561	0.000039	-50.519299	0.000178	0.000051	0.000000	-1.491040	0.005583	-0.151910	0.000966	0.647580	0.001999	-3.379127	2.192018	0.000005	0.000000	1.981633	0.630523	0.151762	0.037543
DES_SN016096.DAT	1	0.697470	0.000005	-0.506300	-0.010458	0.747843	0.009438	28.538622	0.295969	0.000005	0.000000	0.135270	0.222981	0.008957	0.026690	0.698470	0.001253	28.043009	146.831016	0.000005	0.001422	-0.038762	4.254956	0.061705	0.722978
DES_SN016151.DAT	22	0.352080	-9.000000	-9.000000	-9.000000	0.786733	0.007148	29.433652	0.300446	0.000009	0.000000	-0.303706	0.070874	-0.339860	0.007794	0.351080	0.001493	25.681665	0.293254	0.000009	0.000000	3.000000	0.059400	0.202712	0.025363
DES_SN016236.DAT	1	0.298360	-9.000000	-9.000000	-9.000000	0.711372	0.589904	-18.516685	38.392729	0.000023	0.001426	-0.001752	4.261858	-0.445027	0.506507	0.299180	nan	-12.932014	0.313256	0.000016	0.000001	-1.136837	0.125760	0.327399	0.023642
DES_SN016610.DAT	1	0.508800	0.000008	-0.688730	0.141070	0.674999	0.011248	26.826599	0.450290	0.000007	0.000000	0.007021	0.328948	-0.058596	0.023578	0.509800	0.001676	25.385263	0.380939	0.000007	0.000000	-0.180873	0.309011	0.138600	0.023905
DES_SN016887.DAT	1	0.717340	0.000008	1.381800	-0.140040	0.705462	0.000065	-41.167449	0.003755	0.000042	0.000001	-0.015489	0.012671	-0.488880	0.012016	0.718340	0.001729	23.700102	0.323695	0.000008	0.000000	0.874710	0.333218	-0.140820	0.019738
DES_SN016981.DAT	1	0.575070	0.000008	-0.755220	0.037687	0.918475	0.037686	-26.896678	0.000045	0.000013	0.000001	0.100824	0.045212	-0.362389	0.040855	0.574126	0.000002	-9.679167	0.000131	0.000005	0.000000	0.169428	0.642654	0.282982	0.068749
DES_SN017007.DAT	33	0.094455	-9.000000	-9.000000	-9.000000	0.420859	0.002190	24.237750	0.063195	0.000105	0.000001	3.000000	0.010059	-0.058381	0.004878	0.095455	0.000099	19.484540	0.053430	0.000095	0.000001	1.329637	0.058791	0.426559	0.007104
DES_SN017251.DAT	1	0.483270	-9.000000	-9.000000	-9.000000	0.588698	0.008514	21.033035	0.234565	0.000008	0.000000	-2.170684	0.153089	-0.144180	0.017922	0.482270	0.000349	20.402679	0.214356	0.000008	0.000000	-2.229784	0.158325	-0.002087	0.018357
DES_SN017287.DAT	1	0.736340	0.000004	0.927170	0.114250	1.022325	0.033535	29.277957	1.070009	0.000003	0.000000	0.516636	0.415423	-0.219171	0.031065	0.737340	0.001991	28.617965	1.009797	0.000004	0.000000	2.998631	5.752525	0.135718	0.062120
DES_SN017600.DAT	1	0.624860	0.000006	2.335000	0.177090	0.815652	0.000000	6.186427	0.000002	0.000005	0.000000	0.726447	0.626437	0.198131	0.004574	0.624282	0.000004	1.841934	0.002892	0.000004	0.000000	-0.221009	0.591102	0.463360	0.060694
DES_SN017604.DAT	1	0.710540	0.000008	-0.151150	-0.173280	0.715710	0.009202	29.226765	0.204615	0.000008	0.000000	0.221529	0.153669	-0.135277	0.015882	0.711540	0.001491	29.186218	0.186766	0.000008	0.000000	0.230931	0.155903	-0.131252	0.013333
DES_SN017624.DAT	1	0.485150	-9.000000	-9.000000	-9.000000	0.463125	0.006510	21.220500	0.138545	0.000012	0.000000	-0.204086	0.127918	0.021740	0.011884	0.484151	0.000267	21.409426	0.125476	0.000011	0.000000	-0.169704	0.125413	0.006646	0.010237
DES_SN017687.DAT	32	0.553770	-9.000000	-9.000000	-9.000000	0.653695	0.005965	15.878332	0.187896	0.000006	0.000000	-1.463930	0.165142	0.291358	0.021325	0.554769	0.000145	15.412567	0.183654	0.000005	0.000000	-1.197162	0.177931	0.445040	0.019423
DES_SN017752.DAT	1	0.242540	-9.000000	-9.000000	-9.000000	0.706485	0.005107	-22.864893	0.462847	0.000037	0.000001	0.078764	0.011865	-0.500000	0.004100	0.241540	0.001972	-17.973592	0.001292	0.000031	0.000001	-1.161197	0.151352	0.187720	0.031354
DES_SN018085.DAT	22	0.242350	-9.000000	-9.000000	-9.000000	0.684211	0.090728	52.864486	3.154532	0.000045	0.000108	1.671608	5.084597	-0.412732	0.883811	0.241350	0.001747	22.156226	0.462058	0.000011	0.000001	-2.903154	0.828752	-0.009249	0.036385
DES_SN018157.DAT	1	0.580500	0.000008	-0.221550	0.047429	0.726905	0.012572	26.248604	0.299068	0.000006	0.000000	0.240313	0.259924	-0.037877	0.033195	0.579500	0.001670	24.934891	0.278341	0.000006	0.000000	0.449620	0.255122	0.144522	0.022448
DES_SN018181.DAT	1	0.606250	0.000010	-0.071749	-0.087729	0.727479	0.006071	-53.714817	0.806079	0.000080	0.000003	-3.000000	0.007704	-0.059906	0.012114	0.605250	0.001567	23.935065	1.416816	0.000010	0.000000	-0.719427	1.019441	-0.041159	0.035503
DES_SN018245.DAT	1	0.398070	-9.000000	-9.000000	-9.000000	0.751984	0.008145	28.123279	0.200447	0.000009	0.000000	1.008070	0.147340	-0.091741	0.014822	0.399070	0.001703	24.634791	0.151534	0.000009	0.000000	0.891863	0.128422	0.301915	0.012092
DES_SN018420.DAT	22	0.345550	-9.000000	-9.000000	-9.000000	0.771323	0.399687	96.896984	164.744924	0.000001	0.001494	-1.416831	4.903942	0.041834	0.763731	0.344550	0.001996	24.450063	0.392602	0.000010	0.000000	-0.615784	0.398886	-0.123515	0.038252
